SH_Customer No,SH_Customer City,SH_Customer Post Code
0000000250,ASCOT VALE,3032
0000000263,FRANKLIN,7113
0000000264,Launceston,7250
0000000510,Boyer,7140
0000000511,DEVONPORT,7310
0000000689,Burnie,7320
0000000796,LUTANA,7001
0000001129,GLENORCHY,7010
0000001316,Launceston,7250
0000002148,MOONAH,7009
0000002180,HOBART,7000
0000002191,MOONAH,7009
0000002205,Goodwood,7010
0000002235,Launceston,7250
0000002247,HOBART,7001
0000002256,Launceston,7250
0000002306,MOONAH,7009
0000002308,DEVONPORT,7310
0000002312,QUEENSTOWN,7467
0000002315,HOBART,7001
0000002330,BELLFIELD VIA DEVONPORT,7310
0000002358,WESTBURY,7303
0000002360,NORTH HOBART,7002
0000002365,Launceston,7250
0000002462,GLENORCHY,7010
0000002586,HOBART,7000
0000002649,CURRIE KING ISLAND,7256
0000002739,Launceston,7250
0000002767,WEB DOCK,3001
0000002858,INVERMAY,7248
0000002866,HOBART SOUTH,7004
0000002888,Launceston,7250
0000003246,MOONAH,7009
0000003253,Launceston,7250
0000003266,BELLERIVE,7018
0000003268,FORTH,7310
0000003272,Launceston,7250
0000003273,MOONAH,7009
0000003287,ROSNY PARK,7018
0000003291,Launceston,7250
0000003328,QUEENSTOWN,7467
0000003334,MOONAH,7009
0000003344,WYNYARD,7325
0000003352,BURNIE  TAS,7320
0000003385,INVERMAY,7248
0000003386,DEVONPORT,7310
0000003391,Launceston,7250
0000003400,RENISON BELL,7469
0000003419,GEORGETOWN,7253
0000003436,MOONAH,7009
0000003438,DEVONPORT,7310
0000003441,DEVONPORT,7310
0000003446,WYNYARD,7325
0000003454,KINGSTON,7050
0000003455,KINGSTON,7050
0000003457,DEVONPORT,7310
0000003461,Launceston,7250
0000003466,SEVEN MILE BEACH,7170
0000007996,NEW NORFOLK,7140
0000008050,Boyer,7140
0000008102,MOONAH,7009
0000008568,Launceston,7250
0000008641,DERWENT PARK,7010
0000008654,East Devonport,7310
0000008752,East Devonport,7310
0000008826,SAVAGE RIVER,7321
0000009324,QUIOBA,7310
0000009547,Burnie,7320
0000009548,ROSEBERY,7470
0000009549,HOBART,7000
0000009550,MOONAH,7009
0000009551,Launceston,7250
0000009552,MOWBRAY HEIGHTS,7248
0000009553,ROCHERLEA,7248
0000009554,ROCHERLEA,7248
0000009555,Launceston,7250
0000009556,HEYBRIDGE,7316
0000009557,DEVONPORT,7310
0000009558,Burnie,7320
0000009559,WESLEY VALE,7307
0000009560,Burnie,7320
0000009561,Burnie,7320
0000009562,NEWTOWN,7000
0000009563,East Devonport,7310
0000009564,Launceston,7250
0000009565,SMITHTON,7250
0000009566,GLENORCHY,7010
0000009567,MOONAH,7009
0000009568,Launceston,7250
0000009569,HOBART,7000
0000009570,Youngtown,7249
0000009571,ST HELENS,7216
0000009572,ST HELENS,7250
0000009573,ST MARYS,7250
0000009574,GAGEBROOK,7030
0000009575,BRIDGEWATER,7030
0000009576,Burnie,7320
0000009577,Burnie,7320
0000009578,Cooee,7320
0000009579,East Ridgley,7312
0000009580,HOBART.,7001
0000009581,CLAREMONT HOBART,7011
0000009582,Cooee,7320
0000009583,HOBART,7001
0000009584,SOUTH HOBART,7004
0000009585,GEORGETOWN,7253
0000009586,Launceston,7250
0000009587,SMITHTON,7330
0000009588,SMITHTON,7330
0000009589,ROSNY PARK,7018
0000009590,ROSNY,7018
0000009591,EAST RISDON,7009
0000009592,BELLERIVE,7018
0000009593,ROKEBY,7018
0000009594,MONTAGU BAY,7018
0000009595,MOONAH,7000
0000009596,Launceston,7250
0000009597,Launceston,7250
0000009598,BELL BAY,7253
0000009599,GROVE,7109
0000009600,CRESSY,7250
0000009601,NEW NORFOLK,7140
0000009602,DEVONPORT,7250
0000009603,SCOTTSDALE,7260
0000009604,MOONAH,7009
0000009606,NEW TOWN,7008
0000009607,HOBART,7001
0000009608,HOBART,7000
0000009609,Launceston,7250
0000009610,ULVERSTONE,7250
0000009611,Launceston,7250
0000009612,HOBART,7001
0000009613,BRANXHOLM,7261
0000009614,PERTH,7300
0000009615,MOONAH,7009
0000009616,Launceston,7250
0000009617,HOBART,7000
0000009618,DEVONPORT,7116
0000009619,DELORAINE,7009
0000009620,PROSPECT VALE,7250
0000009621,GEORGE TOWN,7253
0000009622,BELL BAY,7250
0000009623,GEORGETOWN,7253
0000009624,SANDY BEACH,7250
0000009625,HOBART,7001
0000009626,TRIABUNNA,7190
0000009627,GLENORCHY,7010
0000009628,GLENORCHY,7010
0000009629,BERRIEDALE,7011
0000009630,DERWANT PARK,7000
0000009632,MOONAH,7009
0000009633,DEVONPORT,7310
0000009634,HOBART,7001
0000009635,HOBART,7000
0000009636,HOBART,7000
0000009637,HOBART,7000
0000009638,HOBART,7001
0000009639,GLENORCHY,7010
0000009640,Risdon Vale,7015
0000009641,HOBART,7250
0000009642,Launceston,7250
0000009643,Launceston,7250
0000009644,HOBART,7000
0000009646,HUONVILLE,7109
0000009647,HUONVILLE,7109
0000009648,HUONVILLE,7109
0000009649,HOBART,7001
0000009650,GEOGETOWN,7253
0000009651,NEW TOWN,7008
0000009652,Launceston,7250
0000009653,Launceston,7250
0000009654,KINGSTON,7150
0000009655,HOBART,7000
0000009656,BLACKMANS BAY,7052
0000009657,HOBART,7000
0000009658,PORT SORELL,7307
0000009659,Launceston,7250
0000009660,Launceston,7250
0000009661,Launceston,7250
0000009662,NORWOOD,7250
0000009663,Launceston,7250
0000009664,Launceston,7250
0000009665,NEWNHAM,7248
0000009666,INVERMAY,7248
0000009667,HUNTINGFIELD,7055
0000009668,LONGFORD,7301
0000009669,CRESSY,7302
0000009670,WESTBURY,7303
0000009671,DELORAINE,7304
0000009672,WESTBURY,7303
0000009673,Youngtown,7249
0000009674,ULVERSTONE,7315
0000009675,DEVONPORT,7250
0000009676,GAWLER,7315
0000009677,LAKE BARRINGTON,7250
0000009678,CAM TREATMENT WORKS,7250
0000009679,PALOONA,7310
0000009680,SMITHTON,7330
0000009681,LONGFORD,7301
0000009682,LONGFORD,7301
0000009683,Campbell Town,7210
0000009684,HOBART,7001
0000009685,HOBART,7000
0000009686,HOBART,7000
0000009687,HOBART,7000
0000009688,Roseberry,7470
0000009689,QUOIBA,7310
0000009690,Launceston,7248
0000009691,NEWNHAM.,7248
0000009692,ZEEHAN,7469
0000009693,ZEEHAN,7469
0000009694,Launceston,7250
0000009695,QUEENSTOWN,7467
0000009696,HOBART,7001
0000009697,HOBART,7000
0000009698,BRIDGEWATER,7030
0000009699,Launceston,7250
0000009700,Launceston,7250
0000009701,WHITE HILLS,7258
0000009702,RIVERSIDE,7250
0000009703,BELL BAY,7253
0000009704,ORFORD,7190
0000009705,Bellfield Via East Devonport,7310
0000009706,DEVONPORT,7250
0000009707,HUONVILLE,7109
0000009708,DEVONPORT,7250
0000009711,ULVERSTONE,7315
0000009712,ULVERSTONE,7315
0000009713,DEVONPORT,7310
0000009714,SCOTTSDALE,7260
0000009715,QUOIBA,7310
0000009716,SCOTTSDALE,7260
0000009717,SCOTTSDALE,7260
0000009718,SCOTTSDALE,7260
0000009719,SORELL,7172
0000009720,SORELL,7172
0000009721,SORELL,7172
0000009722,Oatlands,7120
0000009723,Oatlands,7120
0000009724,GEORGE TOWN,7253
0000009726,DEVONPORT,7310
0000009727,DEVONPORT,7310
0000009728,WESTBURY,7303
0000009730,WESTBURY,7303
0000009731,NORTH HOBART,7000
0000009732,NORTH HOBART,7002
0000009733,GLENORCHY,7010
0000009734,DERWENT PARK,7009
0000009735,SANDY BAY,7005
0000009736,SANDY BAY,7005
0000009737,MOONAH,7009
0000009738,MOONAH,7009
0000009739,DEVONPORT,7310
0000009740,QUOIBA,7310
0000009741,WYNYARD,7325
0000009742,DEVONPORT,7250
0000009743,LEGERWOOD,7250
0000009744,QUOIBA,7310
0000009745,QUOIBA,7310
0000009746,WYNYARD,7325
0000009747,WYNYARD,7325
0000009748,ZEEHAN,7469
0000009749,QUEENSTOWN,7250
0000009750,QUEENSTOWN,7320
0000009751,RIVERSIDE,7250
0000011083,WESLEY VALE,7307
0000011084,Launceston,7250
0000011085,Waverley,7250
0000011086,RIVERSIDE,7250
0000011087,Launceston,7250
0000011088,LONGFORD,7301
0000011090,Launceston,7250
0000011091,SOUTH HOBART,7001
0000011093,Launceston,7250
0000011171,Burnie,7321
0000011419,DEVONPORT,7310
0000011561,Spreyton,7310
0000011572,PORT ARTHUR,7182
0000011573,HOBART,7182
0000011579,St Leonards,7250
0000011812,MOWBRAY,7248
0000012290,DEVONPORT,7310
0000012652,SMITHTON,7330
0000012656,BELL BAY,7253
0000012669,Cambridge,7170
0000016609,SCOTTSDALE,7260
0000016654,SAVAGE RIVER,7321
0000016861,KINGS MEADOWS,7249
0000016906,RICHMOND,7025
0000016907,HOBART,7000
0000016910,BELL BAY,7253
0000016976,HOBART,7001
0000017166,WESLEY VALE,7310
0000017210,Wivenhoe,7320
0000017224,SORELL,7172
0000017288,Latrobe,7307
0000017301,BREADALBANE,7258
0000017397,ULVERSTONE,7315
0000017653,NEWSTEAD,7250
0000017910,Launceston,7250
0000018041,LONGFORD,7301
0000018179,WESLEY VALE,7307
0000018196,DERWENT PARK,7009
0000018288,MOONDAH,7009
0000018295,BUSHY PARK  TAS,7140
0000018321,FRANKLIN,7113
0000018322,WESLEY VALE,7307
0000018372,BEACONSFIELD,7270
0000018457,Launceston,7250
0000018515,LEGERWOOD,7261
0000018548,Launceston,7250
0000018587,Goodwood (Hobart),7010
0000018684,LAUNCESTON   TAS,7250
0000018691,ULVERSTONE,7315
0000018724,SYGNET,7112
0000018941,SMITHTON,7330
0000018946,BELL BAY,7253
0000018964,Launceston,7250
0000019097,GLENORCHY,7010
0000019116,MOONAH,7009
0000019326,WEST MOONAH,7010
0000019329,MONTAQU BAY HOBART,7018
0000019348,DEVONPORT,7310
0000019579,DOWSINGS POINT,7010
0000019590,"Wivenhoe, BURNIE",7320
0000019604,Latrobe,7307
0000019688,BELL BAY,7253
0000019720,Latrobe,7307
0000019790,Latrobe,7307
0000019860,DERWENT PARK,7009
0000019867,FLOWERY GULLY VIA BEACONSFIELD,7270
0000019905,ORFORD,7190
0000019907,TRIABUNNA,7190
0000020172,CAMDALE,7320
0000020176,Launceston,7250
0000020185,ST KILDA ROAD CENTRAL,8008
0000020212,HUONVILLE,7109
0000020365,DELORAINE,7304
0000020413,GEORGE TOWN,7253
0000020545,BELL BAY,7253
0000020666,DEVONPORT,7310
0000020728,PENGUIN,7316
0000020732,SMITHTON,7302
0000021077,HOBART,7000
0000021084,BEACONSFIELD,7270
0000021137,"BOYER, TASMANIA",7140
0000021273,Paradise,7306
0000021358,Launceston,7250
0000021437,Launceston,7250
0000021495,HOBART,7000
0000021525,Roseberry,7470
0000021526,LUTANA,7009
0000021545,Launceston,7250
0000021548,QUEENSTOWN,7467
0000021550,BELL BAY,7253
0000021859,GLENORCHY,7010
0000021910,DEVONPORT,7310
0000021920,MOWBRAY,7250
0000021925,DEVONPORT,7310
0000021948,SMITHTON,7330
0000022105,DEVONPORT,7310
0000022165,DERWENT PARK,7009
0000022186,HOBART,7000
0000022536,BELL BAY,7253
0000022568,BELL BAY,7253
0000022808,Launceston,7250
0000022861,Cambridge,7170
0000022955,Launceston,7250
0000023223,DEVONPORT,7310
0000023234,LINDESFARM,7015
0000023247,Launceston,7249
0000023336,KINGSMEADOW,7249
0000023381,ROSEVEARS,7277
0000023527,DEVONPORT,7310
0000023567,Launceston,7250
0000023660,ROSNY,7018
0000023739,Burnie,7320
0000023895,MOONAH,7009
0000023928,DEVONPORT,7310
0000024009,Burnie,7320
0000024162,GEORGE TOWN,7253
0000024374,KINGS MEADOW,7249
0000024532,DERWENT PARK,7009
0000024696,Cambridge,7170
0000025201,GEORGE TOWN,7253
0000025299,LUTANA-MOONAH,7009
0000025747,Launceston,7250
0000025748,GEORGE TOWN,7253
0000026006,Cambridge,7170
0000026084,DERWENT PARK,7009
0000026172,BELL BAY,7253
0000026314,Launceston,7250
0000027811,BELL BAY,7253
0000028006,MORNINGTON,7018
0000028160,Launceston,7250
0000028171,DEVONPORT,7310
0000028223,DELORAINE,7304
0000028304,PIPERS RIVER,7252
0000028320,DERWENT PARK,7000
0000028410,Latrobe,7307
0000028430,HOBART,7000
0000028602,SAVAGE RIVER,7321
0000028903,Launceston,7250
0000028913,DERWENT PARK,7009
0000029041,INVERMAY,7248
0000029193,LONGFORD,7301
0000029350,Latrobe,7307
0000029719,St Leonards,7250
0000029746,NEW NORFOLK,7140
0000029780,HOBART,7000
0000030024,LONGFORD,7301
0000030147,Bracknell & Exton,7302
0000030407,Ranelagh,7109
0000030495,WESLEY VALE,7307
0000030523,Wivenhoe,7320
0000030753,Launceston,7250
0000030755,SOUTH BURNIE,7320
0000030865,WESLEY VALE,7307
0000030970,BELL BAY,7253
0000031370,WESTBURY,7303
0000031556,Launceston,7250
0000031557,Rowella,7270
0000031625,ROCHERLEA,7248
0000031665,MOONAH,7009
0000031667,SOUTH HOBART,7004
0000031829,Nabowla,7254
0000031831,KINGSTON,7050
0000031832,MARGATE,7054
0000031833,PRINCE OF WALES BAY,7009
0000031834,DERWENT PARK,7009
0000031835,SOUTH HOBART,7004
0000031836,ULVERSTONE,7315
0000031837,Burnie,7320
0000032052,Edith Creek,7330
0000032126,HOBART,7000
0000032127,BELLERIVE,7018
0000032128,HOBART,7000
0000032129,GROVE,7109
0000032130,Cambridge,7170
0000032131,GLENORCHY,7010
0000032132,CARRICK,7291
0000032133,INVERMAY,7248
0000032134,INVERMAY,7248
0000032135,KINGS MEADOWS,7249
0000032136,WESTBURY,7303
0000032137,Rowella,7270
0000033996,DERWENT PARK,7009
0000034059,QUOIBA,7310
0000034106,Launceston,7250
0000034197,HOBART,7000
0000034250,HOBART,7000
0000034262,CURRIE,7256
0000034314,DEVONPORT,7310
0000034369,ZEEHAN,7469
0000034418,Wivenhoe,7320
0000034598,Claremont,7011
0000034658,Burnie,7320
0000034668,HOBART,7000
0000034755,"Kingston, Tasmania",7050
0000034757,Nabowla,7254
0000034891,CAMDALE,7320
0000035093,ROCHERLEA,7248
0000035142,MOONAH,7009
0000035200,HEYBRIDGE,7316
0000035227,Wivenhoe,7320
0000035265,Burnie,7322
0000035404,Burnie,7320
0000035499,Hamilton,7140
0000035767,GEORGE TOWN,7253
0000035874,Cambridge,7170
0000035875,HUNTINGFIELD,7055
0000035917,GEORGE TOWN,7253
0000036165,HOBART,7000
0000036299,INVERMAY,7248
0000036531,INVERMAY,7248
0000036545,MOONAH,7009
0000036619,INVERMAY,7250
0000036680,LONGFORD,7301
0000036748,Tarraleah,7140
