Category: Business & Industrial,,,,,
,,,,,
Month,Orica: (Tasmania),Hardman: (Tasmania),Coogee Chemicals: (Tasmania),Cleveland Bay: (Tasmania),Omega Chemicals: (Tasmania)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,38,0,0,0,0
2006-09,0,0,0,0,0
2006-10,53,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,56,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,46,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,40,0,0,0,0
2008-08,85,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,57,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,26,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,24,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,100,0,0,0,0
2010-07,57,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,24,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,21,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,32,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,10,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,18,0,0,0,0
2012-08,18,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,10,0,0,0,0
2013-01,9,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,8,0,0,0,0
2013-05,0,0,0,0,0
2013-06,8,0,0,0,0
2013-07,15,0,0,0,0
2013-08,0,0,0,0,0
2013-09,8,0,0,0,0
2013-10,8,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,8,0,0,0,0
2014-02,16,0,0,0,0
2014-03,28,0,0,0,0
2014-04,29,0,0,0,0
2014-05,14,0,0,0,0
2014-06,0,0,0,0,0
2014-07,8,0,0,0,0
2014-08,8,0,0,0,0
2014-09,8,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,25,0,0,0,0
2015-01,31,0,0,0,0
2015-02,16,0,0,0,0
2015-03,7,0,0,0,0